split,noise_file,start_sample,length_samples
train,pink_noise.wav,902861,16000
train,white_noise.wav,296195,16000
train,pink_noise.wav,326107,16000
train,doing_the_dishes.wav,744117,16000
train,white_noise.wav,139785,16000
train,pink_noise.wav,772766,16000
train,dude_miaowing.wav,576114,16000
train,doing_the_dishes.wav,808131,16000
train,running_tap.wav,712750,16000
train,pink_noise.wav,447347,16000
train,dude_miaowing.wav,881389,16000
train,doing_the_dishes.wav,253535,16000
train,doing_the_dishes.wav,776977,16000
train,running_tap.wav,587891,16000
train,doing_the_dishes.wav,806879,16000
train,running_tap.wav,198542,16000
train,pink_noise.wav,468812,16000
train,running_tap.wav,783301,16000
train,running_tap.wav,646754,16000
train,running_tap.wav,136104,16000
train,doing_the_dishes.wav,1429660,16000
train,dude_miaowing.wav,917493,16000
train,white_noise.wav,743381,16000
train,pink_noise.wav,592155,16000
train,white_noise.wav,885007,16000
train,pink_noise.wav,550312,16000
train,white_noise.wav,873210,16000
train,doing_the_dishes.wav,1180611,16000
train,pink_noise.wav,347504,16000
train,dude_miaowing.wav,251462,16000
train,exercise_bike.wav,614604,16000
train,pink_noise.wav,914662,16000
train,pink_noise.wav,677484,16000
train,dude_miaowing.wav,344382,16000
train,pink_noise.wav,52997,16000
train,white_noise.wav,310907,16000
train,pink_noise.wav,660989,16000
train,dude_miaowing.wav,498028,16000
train,doing_the_dishes.wav,1314056,16000
train,dude_miaowing.wav,605231,16000
train,pink_noise.wav,465580,16000
train,doing_the_dishes.wav,717065,16000
train,exercise_bike.wav,658665,16000
train,pink_noise.wav,344736,16000
train,doing_the_dishes.wav,1150130,16000
train,pink_noise.wav,290415,16000
train,doing_the_dishes.wav,1110050,16000
train,pink_noise.wav,32606,16000
train,running_tap.wav,231255,16000
train,pink_noise.wav,329673,16000
train,dude_miaowing.wav,259612,16000
train,running_tap.wav,17693,16000
train,pink_noise.wav,231195,16000
train,pink_noise.wav,75120,16000
train,doing_the_dishes.wav,1154418,16000
train,white_noise.wav,155336,16000
train,white_noise.wav,137357,16000
train,running_tap.wav,738401,16000
train,exercise_bike.wav,514760,16000
train,dude_miaowing.wav,396476,16000
train,pink_noise.wav,856992,16000
train,white_noise.wav,730436,16000
train,white_noise.wav,319906,16000
train,running_tap.wav,307406,16000
train,doing_the_dishes.wav,477996,16000
train,pink_noise.wav,790437,16000
train,exercise_bike.wav,115873,16000
train,running_tap.wav,901432,16000
train,dude_miaowing.wav,578217,16000
train,dude_miaowing.wav,606764,16000
train,running_tap.wav,366250,16000
train,white_noise.wav,544426,16000
train,exercise_bike.wav,212703,16000
train,dude_miaowing.wav,11238,16000
train,pink_noise.wav,258645,16000
train,pink_noise.wav,471440,16000
train,running_tap.wav,151983,16000
train,running_tap.wav,36820,16000
train,white_noise.wav,394122,16000
train,exercise_bike.wav,115594,16000
train,white_noise.wav,717289,16000
train,pink_noise.wav,524228,16000
train,exercise_bike.wav,937261,16000
train,doing_the_dishes.wav,1408640,16000
train,exercise_bike.wav,535737,16000
train,white_noise.wav,594733,16000
train,white_noise.wav,859928,16000
train,white_noise.wav,12057,16000
train,pink_noise.wav,342229,16000
train,white_noise.wav,501024,16000
train,running_tap.wav,388613,16000
train,doing_the_dishes.wav,572372,16000
train,dude_miaowing.wav,931271,16000
train,pink_noise.wav,132970,16000
train,white_noise.wav,439122,16000
train,dude_miaowing.wav,866518,16000
train,white_noise.wav,223867,16000
train,pink_noise.wav,920120,16000
train,running_tap.wav,330128,16000
train,dude_miaowing.wav,670291,16000
train,exercise_bike.wav,374894,16000
train,dude_miaowing.wav,496714,16000
train,pink_noise.wav,495979,16000
train,white_noise.wav,366241,16000
train,pink_noise.wav,162666,16000
train,pink_noise.wav,15800,16000
train,doing_the_dishes.wav,1158903,16000
train,exercise_bike.wav,151940,16000
train,white_noise.wav,739111,16000
train,running_tap.wav,675573,16000
train,doing_the_dishes.wav,1132182,16000
train,exercise_bike.wav,242426,16000
train,white_noise.wav,368680,16000
train,dude_miaowing.wav,93664,16000
train,pink_noise.wav,93712,16000
train,running_tap.wav,137957,16000
train,running_tap.wav,822206,16000
train,running_tap.wav,419024,16000
train,pink_noise.wav,367889,16000
train,white_noise.wav,69601,16000
train,white_noise.wav,908473,16000
train,exercise_bike.wav,414864,16000
train,pink_noise.wav,385114,16000
train,exercise_bike.wav,280380,16000
train,white_noise.wav,3735,16000
train,doing_the_dishes.wav,523608,16000
train,white_noise.wav,738497,16000
train,exercise_bike.wav,635873,16000
train,running_tap.wav,675373,16000
train,pink_noise.wav,899463,16000
train,white_noise.wav,932702,16000
train,running_tap.wav,446473,16000
train,pink_noise.wav,360807,16000
train,dude_miaowing.wav,318857,16000
train,exercise_bike.wav,772970,16000
train,dude_miaowing.wav,864148,16000
train,white_noise.wav,918546,16000
train,dude_miaowing.wav,546794,16000
train,pink_noise.wav,528017,16000
train,white_noise.wav,576519,16000
train,exercise_bike.wav,247361,16000
train,white_noise.wav,254833,16000
train,white_noise.wav,479037,16000
train,pink_noise.wav,791664,16000
train,doing_the_dishes.wav,621464,16000
train,pink_noise.wav,867258,16000
train,running_tap.wav,226451,16000
train,white_noise.wav,707544,16000
train,running_tap.wav,480873,16000
train,dude_miaowing.wav,946879,16000
train,dude_miaowing.wav,688687,16000
train,exercise_bike.wav,138334,16000
train,running_tap.wav,272902,16000
train,pink_noise.wav,899581,16000
train,exercise_bike.wav,282784,16000
train,pink_noise.wav,652375,16000
train,running_tap.wav,354977,16000
train,exercise_bike.wav,942993,16000
train,running_tap.wav,880763,16000
train,doing_the_dishes.wav,273843,16000
train,pink_noise.wav,516274,16000
train,running_tap.wav,670351,16000
train,exercise_bike.wav,87474,16000
train,exercise_bike.wav,318226,16000
train,pink_noise.wav,766646,16000
train,exercise_bike.wav,781010,16000
train,white_noise.wav,714809,16000
train,white_noise.wav,43723,16000
train,pink_noise.wav,547327,16000
train,dude_miaowing.wav,471129,16000
train,exercise_bike.wav,715864,16000
train,dude_miaowing.wav,941863,16000
train,exercise_bike.wav,217128,16000
train,running_tap.wav,257456,16000
train,white_noise.wav,872774,16000
train,dude_miaowing.wav,187424,16000
train,pink_noise.wav,299013,16000
train,doing_the_dishes.wav,254604,16000
train,white_noise.wav,332219,16000
train,pink_noise.wav,880059,16000
train,dude_miaowing.wav,720367,16000
train,running_tap.wav,917585,16000
train,exercise_bike.wav,495121,16000
train,doing_the_dishes.wav,146412,16000
train,exercise_bike.wav,356833,16000
train,white_noise.wav,16564,16000
train,dude_miaowing.wav,56984,16000
train,doing_the_dishes.wav,162123,16000
train,white_noise.wav,224381,16000
train,running_tap.wav,637611,16000
train,pink_noise.wav,573507,16000
train,exercise_bike.wav,564717,16000
train,pink_noise.wav,303113,16000
train,white_noise.wav,178831,16000
train,pink_noise.wav,128586,16000
train,dude_miaowing.wav,369648,16000
train,exercise_bike.wav,536047,16000
train,doing_the_dishes.wav,669360,16000
train,dude_miaowing.wav,296206,16000
train,running_tap.wav,338383,16000
train,exercise_bike.wav,314214,16000
train,dude_miaowing.wav,328425,16000
train,dude_miaowing.wav,828043,16000
train,dude_miaowing.wav,403310,16000
train,exercise_bike.wav,313305,16000
train,doing_the_dishes.wav,1368519,16000
train,exercise_bike.wav,949481,16000
train,exercise_bike.wav,232444,16000
train,pink_noise.wav,672409,16000
train,doing_the_dishes.wav,1468283,16000
train,doing_the_dishes.wav,1223107,16000
train,dude_miaowing.wav,509630,16000
train,running_tap.wav,301659,16000
train,dude_miaowing.wav,755381,16000
train,dude_miaowing.wav,273268,16000
train,white_noise.wav,406182,16000
train,exercise_bike.wav,520581,16000
train,dude_miaowing.wav,560895,16000
train,running_tap.wav,878200,16000
train,pink_noise.wav,388850,16000
train,running_tap.wav,557887,16000
train,running_tap.wav,851961,16000
train,exercise_bike.wav,454561,16000
train,running_tap.wav,340175,16000
train,doing_the_dishes.wav,358807,16000
train,white_noise.wav,253137,16000
train,pink_noise.wav,823260,16000
train,doing_the_dishes.wav,596079,16000
train,exercise_bike.wav,724736,16000
train,white_noise.wav,101173,16000
train,pink_noise.wav,404771,16000
train,running_tap.wav,668569,16000
train,dude_miaowing.wav,80032,16000
train,pink_noise.wav,846922,16000
train,running_tap.wav,56482,16000
train,running_tap.wav,937687,16000
train,exercise_bike.wav,307751,16000
train,white_noise.wav,746778,16000
train,running_tap.wav,467507,16000
train,exercise_bike.wav,914202,16000
train,exercise_bike.wav,176193,16000
train,white_noise.wav,681880,16000
train,white_noise.wav,308836,16000
train,exercise_bike.wav,206052,16000
train,dude_miaowing.wav,636913,16000
train,white_noise.wav,42682,16000
train,dude_miaowing.wav,618585,16000
train,running_tap.wav,229404,16000
train,white_noise.wav,564340,16000
train,pink_noise.wav,446252,16000
train,white_noise.wav,790061,16000
train,doing_the_dishes.wav,197428,16000
train,white_noise.wav,35839,16000
train,pink_noise.wav,933912,16000
train,running_tap.wav,178606,16000
train,dude_miaowing.wav,579672,16000
train,running_tap.wav,746808,16000
train,running_tap.wav,452737,16000
train,exercise_bike.wav,198545,16000
train,white_noise.wav,583667,16000
train,exercise_bike.wav,5304,16000
train,dude_miaowing.wav,755737,16000
train,exercise_bike.wav,707766,16000
train,exercise_bike.wav,36553,16000
train,exercise_bike.wav,513571,16000
train,pink_noise.wav,774879,16000
train,exercise_bike.wav,804772,16000
train,white_noise.wav,361591,16000
train,exercise_bike.wav,703395,16000
train,running_tap.wav,362385,16000
train,doing_the_dishes.wav,1392041,16000
train,dude_miaowing.wav,81009,16000
train,dude_miaowing.wav,111607,16000
train,exercise_bike.wav,173192,16000
train,exercise_bike.wav,217882,16000
train,doing_the_dishes.wav,41309,16000
train,doing_the_dishes.wav,49942,16000
train,white_noise.wav,629589,16000
train,white_noise.wav,640644,16000
train,white_noise.wav,479832,16000
train,dude_miaowing.wav,661080,16000
train,exercise_bike.wav,707163,16000
train,dude_miaowing.wav,166534,16000
train,exercise_bike.wav,663343,16000
train,running_tap.wav,929578,16000
train,white_noise.wav,371319,16000
train,white_noise.wav,909911,16000
train,exercise_bike.wav,875079,16000
train,pink_noise.wav,516041,16000
train,dude_miaowing.wav,194179,16000
train,running_tap.wav,29396,16000
train,white_noise.wav,343943,16000
train,pink_noise.wav,940975,16000
train,dude_miaowing.wav,646780,16000
train,dude_miaowing.wav,214601,16000
train,exercise_bike.wav,597586,16000
train,pink_noise.wav,672794,16000
train,running_tap.wav,896547,16000
train,dude_miaowing.wav,146405,16000
train,doing_the_dishes.wav,1014380,16000
train,doing_the_dishes.wav,847338,16000
train,pink_noise.wav,811031,16000
train,dude_miaowing.wav,242103,16000
train,dude_miaowing.wav,546369,16000
train,doing_the_dishes.wav,248958,16000
train,exercise_bike.wav,809108,16000
train,white_noise.wav,528709,16000
train,doing_the_dishes.wav,368701,16000
train,dude_miaowing.wav,91731,16000
train,white_noise.wav,216485,16000
train,dude_miaowing.wav,731010,16000
train,pink_noise.wav,553465,16000
train,doing_the_dishes.wav,697770,16000
train,doing_the_dishes.wav,25340,16000
train,exercise_bike.wav,852188,16000
train,pink_noise.wav,66737,16000
train,doing_the_dishes.wav,672223,16000
train,doing_the_dishes.wav,1277277,16000
train,doing_the_dishes.wav,379019,16000
train,exercise_bike.wav,926316,16000
train,doing_the_dishes.wav,758244,16000
train,running_tap.wav,410523,16000
train,white_noise.wav,746555,16000
train,pink_noise.wav,404696,16000
train,dude_miaowing.wav,349606,16000
train,pink_noise.wav,451596,16000
train,exercise_bike.wav,848644,16000
train,doing_the_dishes.wav,327111,16000
train,doing_the_dishes.wav,161411,16000
train,white_noise.wav,270978,16000
train,dude_miaowing.wav,98149,16000
train,pink_noise.wav,6377,16000
train,doing_the_dishes.wav,769993,16000
train,dude_miaowing.wav,96957,16000
train,dude_miaowing.wav,819832,16000
train,white_noise.wav,91793,16000
train,white_noise.wav,356499,16000
train,dude_miaowing.wav,693829,16000
train,white_noise.wav,266013,16000
train,running_tap.wav,521457,16000
train,white_noise.wav,154947,16000
train,running_tap.wav,707865,16000
train,dude_miaowing.wav,594058,16000
train,pink_noise.wav,449795,16000
train,doing_the_dishes.wav,1468912,16000
train,dude_miaowing.wav,891673,16000
train,white_noise.wav,158670,16000
train,exercise_bike.wav,912066,16000
train,exercise_bike.wav,129907,16000
train,running_tap.wav,457631,16000
train,dude_miaowing.wav,503651,16000
train,pink_noise.wav,393981,16000
train,doing_the_dishes.wav,1283929,16000
train,running_tap.wav,98821,16000
train,white_noise.wav,715091,16000
train,white_noise.wav,362648,16000
train,white_noise.wav,728926,16000
train,white_noise.wav,409215,16000
train,dude_miaowing.wav,381594,16000
train,running_tap.wav,481546,16000
train,pink_noise.wav,203353,16000
train,dude_miaowing.wav,901277,16000
train,white_noise.wav,481684,16000
train,exercise_bike.wav,408160,16000
train,running_tap.wav,452151,16000
train,doing_the_dishes.wav,225906,16000
train,dude_miaowing.wav,257147,16000
train,doing_the_dishes.wav,972601,16000
train,pink_noise.wav,570575,16000
train,white_noise.wav,173857,16000
train,white_noise.wav,589362,16000
train,doing_the_dishes.wav,1209524,16000
train,running_tap.wav,84230,16000
train,white_noise.wav,37536,16000
train,exercise_bike.wav,260706,16000
train,doing_the_dishes.wav,1119928,16000
train,running_tap.wav,564662,16000
train,dude_miaowing.wav,25166,16000
train,doing_the_dishes.wav,1220590,16000
train,dude_miaowing.wav,39097,16000
train,doing_the_dishes.wav,1007618,16000
train,white_noise.wav,747455,16000
train,exercise_bike.wav,210541,16000
train,pink_noise.wav,842593,16000
train,dude_miaowing.wav,175611,16000
train,exercise_bike.wav,851634,16000
train,exercise_bike.wav,942331,16000
train,white_noise.wav,772380,16000
train,exercise_bike.wav,666702,16000
train,pink_noise.wav,350689,16000
train,exercise_bike.wav,338023,16000
train,exercise_bike.wav,799204,16000
train,white_noise.wav,457058,16000
train,dude_miaowing.wav,712658,16000
train,doing_the_dishes.wav,693737,16000
train,doing_the_dishes.wav,749317,16000
train,doing_the_dishes.wav,525272,16000
train,dude_miaowing.wav,337163,16000
train,pink_noise.wav,324244,16000
train,white_noise.wav,84502,16000
train,doing_the_dishes.wav,601005,16000
train,white_noise.wav,65994,16000
train,pink_noise.wav,189303,16000
train,pink_noise.wav,764728,16000
train,pink_noise.wav,173278,16000
train,running_tap.wav,94320,16000
train,dude_miaowing.wav,854805,16000
train,running_tap.wav,715076,16000
train,doing_the_dishes.wav,1057343,16000
train,doing_the_dishes.wav,1094965,16000
train,pink_noise.wav,233496,16000
train,white_noise.wav,720513,16000
train,doing_the_dishes.wav,429783,16000
train,running_tap.wav,80843,16000
train,dude_miaowing.wav,831323,16000
train,dude_miaowing.wav,492332,16000
train,dude_miaowing.wav,430131,16000
train,white_noise.wav,369090,16000
train,dude_miaowing.wav,504403,16000
train,doing_the_dishes.wav,215906,16000
train,doing_the_dishes.wav,1395720,16000
train,white_noise.wav,659823,16000
train,doing_the_dishes.wav,565364,16000
train,doing_the_dishes.wav,1123421,16000
train,running_tap.wav,439492,16000
train,white_noise.wav,727449,16000
train,pink_noise.wav,465013,16000
train,doing_the_dishes.wav,189969,16000
train,white_noise.wav,383896,16000
train,dude_miaowing.wav,576584,16000
train,pink_noise.wav,874463,16000
train,white_noise.wav,663934,16000
train,pink_noise.wav,503841,16000
train,exercise_bike.wav,757989,16000
train,white_noise.wav,686656,16000
train,exercise_bike.wav,355665,16000
train,dude_miaowing.wav,415874,16000
train,exercise_bike.wav,793735,16000
train,doing_the_dishes.wav,324489,16000
train,doing_the_dishes.wav,1121368,16000
train,pink_noise.wav,507953,16000
train,dude_miaowing.wav,868630,16000
train,running_tap.wav,944887,16000
train,doing_the_dishes.wav,1333641,16000
train,doing_the_dishes.wav,1033847,16000
train,dude_miaowing.wav,508839,16000
train,pink_noise.wav,748376,16000
train,running_tap.wav,2008,16000
train,dude_miaowing.wav,807549,16000
train,dude_miaowing.wav,333206,16000
train,dude_miaowing.wav,253771,16000
train,dude_miaowing.wav,773508,16000
train,exercise_bike.wav,515765,16000
train,pink_noise.wav,644209,16000
train,exercise_bike.wav,43810,16000
train,pink_noise.wav,671275,16000
train,dude_miaowing.wav,966735,16000
train,pink_noise.wav,483273,16000
train,white_noise.wav,619778,16000
train,exercise_bike.wav,453002,16000
train,doing_the_dishes.wav,47166,16000
train,white_noise.wav,904903,16000
train,dude_miaowing.wav,132677,16000
train,white_noise.wav,78284,16000
train,dude_miaowing.wav,276639,16000
train,dude_miaowing.wav,660843,16000
train,dude_miaowing.wav,712314,16000
train,doing_the_dishes.wav,910233,16000
train,dude_miaowing.wav,396901,16000
train,exercise_bike.wav,156499,16000
train,white_noise.wav,809903,16000
train,doing_the_dishes.wav,1460350,16000
train,white_noise.wav,883404,16000
train,exercise_bike.wav,335075,16000
train,white_noise.wav,925403,16000
train,exercise_bike.wav,251392,16000
train,pink_noise.wav,723421,16000
train,dude_miaowing.wav,360137,16000
train,doing_the_dishes.wav,1004262,16000
train,white_noise.wav,574052,16000
train,doing_the_dishes.wav,1014495,16000
train,pink_noise.wav,59986,16000
train,white_noise.wav,756091,16000
train,dude_miaowing.wav,78981,16000
train,running_tap.wav,536382,16000
train,doing_the_dishes.wav,689423,16000
train,exercise_bike.wav,12099,16000
train,running_tap.wav,539061,16000
train,pink_noise.wav,491832,16000
train,exercise_bike.wav,254908,16000
train,pink_noise.wav,537972,16000
train,running_tap.wav,635405,16000
train,running_tap.wav,173977,16000
train,pink_noise.wav,60223,16000
train,dude_miaowing.wav,458572,16000
train,pink_noise.wav,37877,16000
train,doing_the_dishes.wav,115114,16000
train,white_noise.wav,163044,16000
train,doing_the_dishes.wav,883829,16000
train,doing_the_dishes.wav,402147,16000
train,doing_the_dishes.wav,201952,16000
train,pink_noise.wav,930276,16000
train,pink_noise.wav,554901,16000
train,pink_noise.wav,62098,16000
train,dude_miaowing.wav,412140,16000
train,white_noise.wav,587195,16000
train,pink_noise.wav,935485,16000
train,pink_noise.wav,512596,16000
train,dude_miaowing.wav,259927,16000
train,dude_miaowing.wav,908311,16000
train,pink_noise.wav,433277,16000
train,doing_the_dishes.wav,127811,16000
train,doing_the_dishes.wav,1266892,16000
train,exercise_bike.wav,481692,16000
train,white_noise.wav,332164,16000
train,dude_miaowing.wav,294994,16000
train,exercise_bike.wav,431719,16000
train,doing_the_dishes.wav,1199916,16000
train,pink_noise.wav,106270,16000
train,doing_the_dishes.wav,393063,16000
train,pink_noise.wav,540493,16000
train,exercise_bike.wav,413851,16000
train,exercise_bike.wav,467593,16000
train,exercise_bike.wav,222802,16000
train,white_noise.wav,143336,16000
train,pink_noise.wav,66068,16000
train,white_noise.wav,673082,16000
train,exercise_bike.wav,934066,16000
train,doing_the_dishes.wav,498666,16000
train,exercise_bike.wav,417541,16000
train,pink_noise.wav,916765,16000
train,exercise_bike.wav,234077,16000
train,pink_noise.wav,728595,16000
train,pink_noise.wav,162342,16000
train,exercise_bike.wav,569182,16000
train,doing_the_dishes.wav,812845,16000
train,running_tap.wav,678017,16000
train,dude_miaowing.wav,268885,16000
train,pink_noise.wav,392523,16000
train,running_tap.wav,825164,16000
train,pink_noise.wav,413207,16000
train,dude_miaowing.wav,949868,16000
train,white_noise.wav,213109,16000
train,pink_noise.wav,551171,16000
train,white_noise.wav,688118,16000
train,pink_noise.wav,680650,16000
train,white_noise.wav,891888,16000
train,white_noise.wav,836418,16000
train,dude_miaowing.wav,794408,16000
train,pink_noise.wav,274437,16000
train,pink_noise.wav,239486,16000
train,running_tap.wav,803647,16000
train,running_tap.wav,307251,16000
train,doing_the_dishes.wav,412011,16000
train,white_noise.wav,941151,16000
train,white_noise.wav,536577,16000
train,pink_noise.wav,380023,16000
train,white_noise.wav,747441,16000
train,dude_miaowing.wav,136832,16000
train,exercise_bike.wav,359773,16000
train,white_noise.wav,169305,16000
train,pink_noise.wav,217839,16000
train,doing_the_dishes.wav,1368920,16000
train,white_noise.wav,624596,16000
train,exercise_bike.wav,575826,16000
train,pink_noise.wav,426605,16000
train,white_noise.wav,909456,16000
train,doing_the_dishes.wav,706972,16000
train,doing_the_dishes.wav,228044,16000
train,white_noise.wav,26106,16000
train,pink_noise.wav,148842,16000
train,running_tap.wav,232436,16000
train,white_noise.wav,272286,16000
train,dude_miaowing.wav,791217,16000
train,exercise_bike.wav,494653,16000
train,exercise_bike.wav,520901,16000
train,dude_miaowing.wav,424624,16000
train,pink_noise.wav,493875,16000
train,doing_the_dishes.wav,393702,16000
train,pink_noise.wav,577029,16000
train,white_noise.wav,297974,16000
train,running_tap.wav,95563,16000
train,dude_miaowing.wav,576463,16000
train,exercise_bike.wav,190403,16000
train,running_tap.wav,693715,16000
train,running_tap.wav,29432,16000
train,exercise_bike.wav,592044,16000
train,exercise_bike.wav,44967,16000
train,dude_miaowing.wav,443944,16000
train,white_noise.wav,890961,16000
train,exercise_bike.wav,651837,16000
train,pink_noise.wav,870016,16000
train,dude_miaowing.wav,442848,16000
train,pink_noise.wav,349445,16000
train,dude_miaowing.wav,603694,16000
train,dude_miaowing.wav,72832,16000
train,pink_noise.wav,412654,16000
train,running_tap.wav,21720,16000
train,dude_miaowing.wav,599159,16000
train,doing_the_dishes.wav,1241255,16000
train,exercise_bike.wav,38119,16000
train,exercise_bike.wav,195092,16000
train,exercise_bike.wav,131416,16000
train,dude_miaowing.wav,79496,16000
train,doing_the_dishes.wav,776557,16000
train,doing_the_dishes.wav,181770,16000
train,running_tap.wav,684657,16000
train,pink_noise.wav,726973,16000
train,white_noise.wav,458843,16000
train,running_tap.wav,542870,16000
train,white_noise.wav,285992,16000
train,white_noise.wav,236951,16000
train,doing_the_dishes.wav,1232620,16000
train,exercise_bike.wav,598906,16000
train,exercise_bike.wav,135117,16000
train,white_noise.wav,338086,16000
train,white_noise.wav,462536,16000
train,white_noise.wav,53697,16000
train,running_tap.wav,934765,16000
train,doing_the_dishes.wav,1374042,16000
train,pink_noise.wav,68932,16000
train,pink_noise.wav,388687,16000
train,exercise_bike.wav,283095,16000
train,dude_miaowing.wav,403274,16000
train,pink_noise.wav,807328,16000
train,exercise_bike.wav,379950,16000
train,dude_miaowing.wav,652540,16000
train,pink_noise.wav,760223,16000
train,doing_the_dishes.wav,313345,16000
train,pink_noise.wav,598358,16000
train,doing_the_dishes.wav,457070,16000
train,doing_the_dishes.wav,211762,16000
