rom_case,eval_case_id,sample_index,target,target_name,detections,crc16,hit,quiet_false,wrong,outside
106,2568,4491,10,_silence_,,7b76,0,0,0,0
107,2824,4087,11,_unknown_,,5419,0,0,0,0
108,9,2870,0,yes,w8:0,8068,1,0,0,0
109,265,814,1,no,w9:1,beed,1,0,0,0
110,521,2038,2,up,w9:2,9229,1,0,0,0
111,777,2466,3,down,w11:3,4da4,1,0,0,0
112,1033,1217,4,left,w8:4,dcd0,1,0,0,0
113,1289,9,5,right,w12:5,32e9,1,0,0,0
114,1545,3290,6,on,,ea21,0,0,0,0
115,1801,3684,7,off,w10:9,630e,0,0,1,0
116,2057,1629,8,stop,w9:8,ec8d,1,0,0,0
117,2313,413,9,go,w10:9,aaac,1,0,0,0
118,2569,4492,10,_silence_,w7:6,75d1,0,1,1,0
119,2825,4089,11,_unknown_,,6d98,0,0,0,0
120,10,2871,0,yes,,e2a7,0,0,0,0
121,266,817,1,no,,15ab,0,0,0,0
122,522,2040,2,up,w10:2,e6dd,1,0,0,0
123,778,2467,3,down,,1590,0,0,0,0
124,1034,1218,4,left,w9:4,41a8,1,0,0,0
125,1290,10,5,right,w12:5,55d4,1,0,0,0
126,1546,3291,6,on,w17:3,a801,0,0,1,0
127,1802,3685,7,off,,8ef6,0,0,0,0
128,2058,1631,8,stop,w11:8,0eb6,1,0,0,0
129,2314,414,9,go,w12:3,7564,0,0,1,0
130,2570,4494,10,_silence_,,4e96,0,0,0,0
131,2826,4090,11,_unknown_,,af17,0,0,0,0
132,11,2872,0,yes,w10:0,d510,1,0,0,0
133,267,819,1,no,w9:1,8adc,1,0,0,0
134,523,2041,2,up,,c0a3,0,0,0,0
135,779,2468,3,down,,f86d,0,0,0,0
136,1035,1219,4,left,w9:8,67ee,0,0,1,0
137,1291,14,5,right,w6:6,a235,0,0,1,0
138,1547,3292,6,on,,3882,0,0,0,0
139,1803,3687,7,off,w14:7,d6a6,1,0,0,0
140,2059,1632,8,stop,w11:8,c610,1,0,0,0
141,2315,415,9,go,w9:9,181e,1,0,0,0
142,2571,4495,10,_silence_,,6295,0,0,0,0
143,2827,4092,11,_unknown_,,a658,0,0,0,0
144,12,2873,0,yes,w10:0,3297,1,0,0,0
145,268,821,1,no,w10:1,bd66,1,0,0,0
146,524,2042,2,up,,208f,0,0,0,0
147,780,2472,3,down,w10:3,ef6f,1,0,0,0
148,1036,1220,4,left,w10:4,7128,1,0,0,0
149,1292,16,5,right,,e7fb,0,0,0,0
150,1548,3294,6,on,w9:6,b26e,1,0,0,0
151,1804,3693,7,off,,ef30,0,0,0,0
152,2060,1633,8,stop,w12:8,fd19,1,0,0,0
153,2316,416,9,go,,91da,0,0,0,0
154,2572,4496,10,_silence_,,8c41,0,0,0,0
155,2828,4093,11,_unknown_,,0ae3,0,0,0,0
156,13,2874,0,yes,w7:0,07c6,1,0,0,0
157,269,822,1,no,w8:1,2cd0,1,0,0,0
158,525,2045,2,up,w12:2,c5cb,1,0,0,0
159,781,2473,3,down,w10:3,bf39,1,0,0,0
160,1037,1222,4,left,w11:4,6937,1,0,0,0
161,1293,17,5,right,w9:5,b520,1,0,0,0
162,1549,3296,6,on,w8:6,8bd3,1,0,0,0
163,1805,3695,7,off,w9:7,c295,1,0,0,0
164,2061,1635,8,stop,,07f3,0,0,0,0
165,2317,417,9,go,w9:9,85b8,1,0,0,0
166,2573,4498,10,_silence_,,f178,0,0,0,0
167,2829,4094,11,_unknown_,w16:0,4a54,0,1,1,0
168,14,2875,0,yes,,f137,0,0,0,0
169,270,823,1,no,,024d,0,0,0,0
170,526,2046,2,up,w14:7,dafc,0,0,1,0
171,782,2475,3,down,,cb52,0,0,0,0
172,1038,1223,4,left,w12:4,0637,1,0,0,0
173,1294,19,5,right,w11:5,d9b4,1,0,0,0
174,1550,3297,6,on,,688f,0,0,0,0
175,1806,3696,7,off,w11:7,a5da,1,0,0,0
176,2062,1637,8,stop,w9:8,4515,1,0,0,0
177,2318,418,9,go,,2dec,0,0,0,0
178,2574,4500,10,_silence_,,93ec,0,0,0,0
179,2830,4096,11,_unknown_,,405a,0,0,0,0
180,15,2877,0,yes,w12:0,8d97,1,0,0,0
181,271,825,1,no,,7d2f,0,0,0,0
182,527,2048,2,up,,4337,0,0,0,0
183,783,2476,3,down,,162f,0,0,0,0
184,1039,1224,4,left,,6f4f,0,0,0,0
185,1295,21,5,right,w10:5,5d21,1,0,0,0
186,1551,3299,6,on,,7177,0,0,0,0
187,1807,3697,7,off,w12:7,8dfa,1,0,0,0
188,2063,1638,8,stop,w12:8,7481,1,0,0,0
189,2319,422,9,go,w9:9,6d10,1,0,0,0
190,2575,4503,10,_silence_,,b1f3,0,0,0,0
191,2831,4098,11,_unknown_,,1242,0,0,0,0
192,16,2879,0,yes,w10:0,dd71,1,0,0,0
193,272,827,1,no,w9:1,0458,1,0,0,0
194,528,2051,2,up,w9:2,6869,1,0,0,0
195,784,2477,3,down,w13:3,b0a9,1,0,0,0
196,1040,1225,4,left,,943c,0,0,0,0
197,1296,22,5,right,w9:5,a4de,1,0,0,0
198,1552,3300,6,on,w9:6,2e9d,1,0,0,0
199,1808,3698,7,off,,b1cf,0,0,0,0
200,2064,1639,8,stop,w11:8,8fdf,1,0,0,0
201,2320,424,9,go,w15:9,4277,1,0,0,0
202,2576,4504,10,_silence_,,98ec,0,0,0,0
203,2832,4099,11,_unknown_,,2aec,0,0,0,0
204,17,2880,0,yes,w8:4,bb17,0,0,1,0
205,273,828,1,no,w9:1,3f49,1,0,0,0
206,529,2052,2,up,,3d12,0,0,0,0
207,785,2479,3,down,w9:3,97f4,1,0,0,0
208,1041,1226,4,left,w10:4,6d8d,1,0,0,0
209,1297,24,5,right,w10:5,c723,1,0,0,0
210,1553,3304,6,on,,d910,0,0,0,0
211,1809,3699,7,off,w12:7,b759,1,0,0,0
212,2065,1640,8,stop,w8:8,4765,1,0,0,0
213,2321,425,9,go,,8abe,0,0,0,0
214,2577,4506,10,_silence_,,e287,0,0,0,0
215,2833,4100,11,_unknown_,,3165,0,0,0,0
216,18,2881,0,yes,,ed64,0,0,0,0
217,274,829,1,no,w10:1,11ec,1,0,0,0
218,530,2053,2,up,,54d6,0,0,0,0
219,786,2481,3,down,,e59e,0,0,0,0
220,1042,1228,4,left,w13:4,9410,1,0,0,0
221,1298,26,5,right,w10:5,1734,1,0,0,0
222,1554,3311,6,on,w8:6,3b50,1,0,0,0
223,1810,3701,7,off,w9:7,660e,1,0,0,0
224,2066,1642,8,stop,w7:8,13d9,1,0,0,0
225,2322,426,9,go,,464d,0,0,0,0
226,2578,4507,10,_silence_,,bfd8,0,0,0,0
227,2834,4101,11,_unknown_,,a1f9,0,0,0,0
228,19,2885,0,yes,,ce37,0,0,0,0
229,275,830,1,no,,1505,0,0,0,0
230,531,2054,2,up,,ad17,0,0,0,0
231,787,2482,3,down,w9:3,714b,1,0,0,0
232,1043,1229,4,left,,5664,0,0,0,0
233,1299,27,5,right,w13:5,c46c,1,0,0,0
234,1555,3313,6,on,w11:6,98c6,1,0,0,0
235,1811,3702,7,off,w10:7,b0ab,1,0,0,0
236,2067,1643,8,stop,w8:8,f43c,1,0,0,0
237,2323,428,9,go,,dbde,0,0,0,0
238,2579,4509,10,_silence_,,ba63,0,0,0,0
239,2835,4102,11,_unknown_,,4c60,0,0,0,0
