rom_case,case_id,target,window_id,keyword_idx,keyword_margin,accept,candidate,streak,cooldown,armed,quiet_seen,detection,float_pred,float_gated
3,768,3,17,6,4673,1,6,1,0,1,1,,6,6
3,768,3,18,6,-2527,0,0,0,0,1,1,,10,10
3,768,3,19,3,-22689,0,0,0,0,1,1,,10,10
3,768,3,20,2,-23034,0,0,0,0,1,1,,10,10
4,1024,4,0,0,-26837,0,0,0,0,1,1,,10,10
4,1024,4,1,0,-14106,0,0,0,0,1,1,,10,10
4,1024,4,2,0,-3009,0,0,0,0,1,1,,10,10
4,1024,4,3,0,-9701,0,0,0,0,1,1,,10,10
4,1024,4,4,0,4083,0,0,0,0,1,1,,0,10
4,1024,4,5,0,8662,1,0,1,0,1,1,,0,0
4,1024,4,6,0,26306,1,0,2,0,1,1,,0,0
4,1024,4,7,0,33823,1,0,3,0,1,1,,0,0
4,1024,4,8,0,22856,1,0,4,0,1,1,,0,0
4,1024,4,9,0,19671,1,0,0,10,0,0,0,0,0
4,1024,4,10,0,24625,1,0,0,9,0,0,,0,0
4,1024,4,11,0,27604,1,0,0,8,0,0,,0,0
4,1024,4,12,0,25688,1,0,0,7,0,0,,0,0
4,1024,4,13,0,19867,1,0,0,6,0,0,,0,0
4,1024,4,14,4,5858,1,0,0,5,0,0,,4,4
4,1024,4,15,2,-16183,0,0,0,4,0,1,,10,10
4,1024,4,16,3,-14062,0,0,0,3,0,1,,10,10
4,1024,4,17,3,-18676,0,0,0,2,0,1,,10,10
4,1024,4,18,3,-25143,0,0,0,1,0,1,,10,10
4,1024,4,19,3,-18913,0,0,0,0,1,1,,10,10
4,1024,4,20,3,-34486,0,0,0,0,1,1,,10,10
5,1280,5,0,2,-37958,0,0,0,0,1,1,,10,10
5,1280,5,1,8,-39614,0,0,0,0,1,1,,10,10
5,1280,5,2,8,-41675,0,0,0,0,1,1,,10,10
5,1280,5,3,2,-11071,0,0,0,0,1,1,,10,10
5,1280,5,4,5,10899,1,5,1,0,1,1,,5,5
5,1280,5,5,4,17918,1,4,1,0,1,1,,4,4
5,1280,5,6,4,22295,1,4,2,0,1,1,,4,4
5,1280,5,7,5,21303,1,5,1,0,1,1,,5,5
5,1280,5,8,5,23605,1,5,2,0,1,1,,5,5
5,1280,5,9,5,22890,1,5,3,0,1,1,,5,5
5,1280,5,10,5,24745,1,5,4,0,1,1,,5,5
5,1280,5,11,5,15285,1,0,0,10,0,0,5,5,5
5,1280,5,12,5,16395,1,0,0,9,0,0,,5,5
5,1280,5,13,5,12657,1,0,0,8,0,0,,5,5
5,1280,5,14,5,9878,1,0,0,7,0,0,,5,5
5,1280,5,15,4,-22362,0,0,0,6,0,1,,10,10
5,1280,5,16,2,-20605,0,0,0,5,0,1,,10,10
5,1280,5,17,0,-15335,0,0,0,4,0,1,,10,10
5,1280,5,18,8,-8209,0,0,0,3,0,1,,10,10
5,1280,5,19,0,-25483,0,0,0,2,0,1,,10,10
5,1280,5,20,8,-14478,0,0,0,1,0,1,,10,10
6,1536,6,0,3,-32335,0,0,0,0,1,1,,10,10
6,1536,6,1,3,-15941,0,0,0,0,1,1,,10,10
6,1536,6,2,3,1207,0,0,0,0,1,1,,3,10
6,1536,6,3,3,4461,1,3,1,0,1,1,,3,3
6,1536,6,4,3,12071,1,3,2,0,1,1,,3,3
6,1536,6,5,3,10047,1,3,3,0,1,1,,3,3
6,1536,6,6,3,7315,1,3,4,0,1,1,,3,3
6,1536,6,7,2,3049,0,0,0,0,1,1,,2,10
6,1536,6,8,2,4799,1,2,1,0,1,1,,2,2
6,1536,6,9,6,5847,1,6,1,0,1,1,,6,6
6,1536,6,10,6,15110,1,6,2,0,1,1,,6,6
6,1536,6,11,6,11370,1,6,3,0,1,1,,6,6
6,1536,6,12,6,10914,1,6,4,0,1,1,,6,6
6,1536,6,13,6,13185,1,0,0,10,0,0,6,6,6
6,1536,6,14,6,13956,1,0,0,9,0,0,,6,6
6,1536,6,15,6,16785,1,0,0,8,0,0,,6,6
6,1536,6,16,6,16298,1,0,0,7,0,0,,6,6
6,1536,6,17,2,-826,0,0,0,6,0,1,,10,10
6,1536,6,18,5,-19079,0,0,0,5,0,1,,10,10
6,1536,6,19,0,-5586,0,0,0,4,0,1,,10,10
6,1536,6,20,2,-36220,0,0,0,3,0,1,,10,10
7,1792,7,0,0,-28273,0,0,0,0,1,1,,10,10
7,1792,7,1,0,-23155,0,0,0,0,1,1,,10,10
7,1792,7,2,0,-19096,0,0,0,0,1,1,,10,10
7,1792,7,3,2,6700,1,2,1,0,1,1,,2,2
7,1792,7,4,6,15943,1,6,1,0,1,1,,6,6
7,1792,7,5,7,7032,1,7,1,0,1,1,,7,7
7,1792,7,6,7,10717,1,7,2,0,1,1,,7,7
7,1792,7,7,7,4773,1,7,3,0,1,1,,7,7
7,1792,7,8,7,7795,1,7,4,0,1,1,,7,7
7,1792,7,9,7,13907,1,0,0,10,0,0,7,7,7
7,1792,7,10,7,8902,1,0,0,9,0,0,,7,7
7,1792,7,11,7,-882,0,0,0,8,0,1,,11,11
7,1792,7,12,7,9091,1,0,0,7,0,1,,7,7
7,1792,7,13,0,13235,1,0,0,6,0,1,,0,0
7,1792,7,14,3,-4196,0,0,0,5,0,1,,11,11
7,1792,7,15,8,-9186,0,0,0,4,0,1,,11,11
7,1792,7,16,0,7918,1,0,0,3,0,1,,0,0
7,1792,7,17,0,224,0,0,0,2,0,1,,0,10
7,1792,7,18,0,-8023,0,0,0,1,0,1,,10,10
7,1792,7,19,0,-26503,0,0,0,0,1,1,,10,10
7,1792,7,20,0,-35906,0,0,0,0,1,1,,10,10
8,2048,8,0,0,-27758,0,0,0,0,1,1,,10,10
8,2048,8,1,0,-26973,0,0,0,0,1,1,,10,10
8,2048,8,2,2,-37279,0,0,0,0,1,1,,10,10
8,2048,8,3,8,7431,1,8,1,0,1,1,,8,8
8,2048,8,4,8,14331,1,8,2,0,1,1,,8,8
8,2048,8,5,8,20617,1,8,3,0,1,1,,8,8
8,2048,8,6,8,16610,1,8,4,0,1,1,,8,8
8,2048,8,7,8,8774,1,0,0,10,0,0,8,8,8
8,2048,8,8,8,9857,1,0,0,9,0,0,,8,8
8,2048,8,9,8,13423,1,0,0,8,0,0,,8,8
8,2048,8,10,8,16103,1,0,0,7,0,0,,8,8
8,2048,8,11,8,2725,0,0,0,6,0,1,,8,10
8,2048,8,12,6,4696,1,0,0,5,0,1,,6,6
8,2048,8,13,6,2397,0,0,0,4,0,1,,6,10
8,2048,8,14,6,4809,1,0,0,3,0,1,,3,3
8,2048,8,15,6,3122,0,0,0,2,0,1,,6,10
8,2048,8,16,3,-3273,0,0,0,1,0,1,,10,10
8,2048,8,17,3,-5865,0,0,0,0,1,1,,10,10
8,2048,8,18,7,-13465,0,0,0,0,1,1,,10,10
8,2048,8,19,7,-27179,0,0,0,0,1,1,,10,10
8,2048,8,20,7,-53397,0,0,0,0,1,1,,10,10
9,2304,9,0,0,-42561,0,0,0,0,1,1,,10,10
9,2304,9,1,0,-25519,0,0,0,0,1,1,,10,10
9,2304,9,2,0,-9895,0,0,0,0,1,1,,10,10
9,2304,9,3,5,-14141,0,0,0,0,1,1,,10,10
9,2304,9,4,5,-4408,0,0,0,0,1,1,,10,10
9,2304,9,5,9,-3847,0,0,0,0,1,1,,10,10
9,2304,9,6,9,14064,1,9,1,0,1,1,,9,9
9,2304,9,7,9,13881,1,9,2,0,1,1,,9,9
9,2304,9,8,9,13922,1,9,3,0,1,1,,9,9
9,2304,9,9,9,11729,1,9,4,0,1,1,,9,9
9,2304,9,10,9,13914,1,0,0,10,0,0,9,9,9
9,2304,9,11,9,12672,1,0,0,9,0,0,,9,9
9,2304,9,12,9,15849,1,0,0,8,0,0,,9,9
9,2304,9,13,9,10390,1,0,0,7,0,0,,9,9
9,2304,9,14,1,7569,1,0,0,6,0,0,,1,1
9,2304,9,15,0,-3323,0,0,0,5,0,1,,11,11
9,2304,9,16,9,-3686,0,0,0,4,0,1,,11,11
9,2304,9,17,0,-6709,0,0,0,3,0,1,,10,10
9,2304,9,18,0,-23141,0,0,0,2,0,1,,10,10
9,2304,9,19,0,-22962,0,0,0,1,0,1,,10,10
9,2304,9,20,0,-26837,0,0,0,0,1,1,,10,10
10,2560,10,0,7,-41368,0,0,0,0,1,1,,10,10
10,2560,10,1,3,-50055,0,0,0,0,1,1,,10,10
10,2560,10,2,3,-45370,0,0,0,0,1,1,,10,10
10,2560,10,3,7,-51890,0,0,0,0,1,1,,10,10
10,2560,10,4,3,-54280,0,0,0,0,1,1,,10,10
10,2560,10,5,7,-52493,0,0,0,0,1,1,,10,10
10,2560,10,6,7,-48983,0,0,0,0,1,1,,10,10
10,2560,10,7,3,-51058,0,0,0,0,1,1,,10,10
10,2560,10,8,7,-42164,0,0,0,0,1,1,,10,10
10,2560,10,9,9,-57839,0,0,0,0,1,1,,10,10
10,2560,10,10,7,-41412,0,0,0,0,1,1,,10,10
10,2560,10,11,4,-24732,0,0,0,0,1,1,,10,10
10,2560,10,12,0,-15119,0,0,0,0,1,1,,10,10
10,2560,10,13,0,-7323,0,0,0,0,1,1,,10,10
10,2560,10,14,0,7134,1,0,1,0,1,1,,0,0
10,2560,10,15,0,4420,1,0,2,0,1,1,,0,0
10,2560,10,16,0,-614,0,0,0,0,1,1,,10,10
10,2560,10,17,7,-8734,0,0,0,0,1,1,,10,10
10,2560,10,18,7,2951,0,0,0,0,1,1,,7,10
10,2560,10,19,7,6519,1,7,1,0,1,1,,7,7
10,2560,10,20,0,-36170,0,0,0,0,1,1,,10,10
11,2816,11,0,3,-41506,0,0,0,0,1,1,,10,10
11,2816,11,1,3,-32283,0,0,0,0,1,1,,10,10
11,2816,11,2,3,-16473,0,0,0,0,1,1,,10,10
11,2816,11,3,3,-18705,0,0,0,0,1,1,,10,10
11,2816,11,4,3,-13713,0,0,0,0,1,1,,10,10
11,2816,11,5,9,-9859,0,0,0,0,1,1,,11,11
11,2816,11,6,5,-21456,0,0,0,0,1,1,,11,11
11,2816,11,7,9,-16650,0,0,0,0,1,1,,11,11
11,2816,11,8,5,-22647,0,0,0,0,1,1,,11,11
11,2816,11,9,5,-19014,0,0,0,0,1,1,,11,11
11,2816,11,10,5,-27999,0,0,0,0,1,1,,11,11
11,2816,11,11,5,-27435,0,0,0,0,1,1,,11,11
11,2816,11,12,5,-25439,0,0,0,0,1,1,,11,11
11,2816,11,13,5,-23435,0,0,0,0,1,1,,11,11
11,2816,11,14,5,370,0,0,0,0,1,1,,5,10
11,2816,11,15,5,-12152,0,0,0,0,1,1,,11,11
11,2816,11,16,4,5169,1,4,1,0,1,1,,4,4
11,2816,11,17,4,6284,1,4,2,0,1,1,,4,4
11,2816,11,18,4,-25345,0,0,0,0,1,1,,10,10
11,2816,11,19,4,-16655,0,0,0,0,1,1,,10,10
11,2816,11,20,4,-17128,0,0,0,0,1,1,,10,10
12,1,0,0,7,-46724,0,0,0,0,1,1,,10,10
12,1,0,1,7,-23829,0,0,0,0,1,1,,10,10
12,1,0,2,0,-24069,0,0,0,0,1,1,,10,10
12,1,0,3,0,10673,1,0,1,0,1,1,,0,0
12,1,0,4,0,-18943,0,0,0,0,1,1,,10,10
12,1,0,5,0,-9229,0,0,0,0,1,1,,10,10
12,1,0,6,0,1,0,0,0,0,1,1,,0,10
12,1,0,7,0,17130,1,0,1,0,1,1,,0,0
12,1,0,8,0,26809,1,0,2,0,1,1,,0,0
12,1,0,9,0,30565,1,0,3,0,1,1,,0,0
12,1,0,10,0,35556,1,0,4,0,1,1,,0,0
12,1,0,11,0,29455,1,0,0,10,0,0,0,0,0
12,1,0,12,0,36837,1,0,0,9,0,0,,0,0
12,1,0,13,0,32850,1,0,0,8,0,0,,0,0
12,1,0,14,0,23812,1,0,0,7,0,0,,0,0
12,1,0,15,0,9558,1,0,0,6,0,0,,0,0
12,1,0,16,3,-302,0,0,0,5,0,1,,10,10
12,1,0,17,3,-13818,0,0,0,4,0,1,,10,10
12,1,0,18,3,-14938,0,0,0,3,0,1,,10,10
12,1,0,19,3,-14600,0,0,0,2,0,1,,10,10
12,1,0,20,3,-25220,0,0,0,1,0,1,,10,10
13,257,1,0,2,-43644,0,0,0,0,1,1,,10,10
13,257,1,1,2,-36188,0,0,0,0,1,1,,10,10
13,257,1,2,2,-43470,0,0,0,0,1,1,,10,10
13,257,1,3,8,-44483,0,0,0,0,1,1,,10,10
13,257,1,4,4,-8952,0,0,0,0,1,1,,10,10
13,257,1,5,4,1176,0,0,0,0,1,1,,4,10
13,257,1,6,1,2641,0,0,0,0,1,1,,1,10
13,257,1,7,1,2722,0,0,0,0,1,1,,1,10
13,257,1,8,1,6531,1,1,1,0,1,1,,1,1
13,257,1,9,1,3086,0,0,0,0,1,1,,1,10
13,257,1,10,1,6610,1,1,1,0,1,1,,1,1
13,257,1,11,1,6688,1,1,2,0,1,1,,1,1
13,257,1,12,1,-512,0,0,0,0,1,1,,11,11
13,257,1,13,1,6748,1,1,1,0,1,1,,1,1
13,257,1,14,4,15757,1,4,1,0,1,1,,4,4
13,257,1,15,7,20268,1,7,1,0,1,1,,7,7
13,257,1,16,4,11357,1,4,1,0,1,1,,4,4
13,257,1,17,2,-9651,0,0,0,0,1,1,,10,10
13,257,1,18,4,-6574,0,0,0,0,1,1,,10,10
13,257,1,19,4,-34811,0,0,0,0,1,1,,10,10
13,257,1,20,8,-51401,0,0,0,0,1,1,,10,10
14,513,2,0,3,-42217,0,0,0,0,1,1,,10,10
14,513,2,1,3,-35289,0,0,0,0,1,1,,10,10
14,513,2,2,3,-24370,0,0,0,0,1,1,,10,10
14,513,2,3,3,-15701,0,0,0,0,1,1,,10,10
14,513,2,4,3,-18105,0,0,0,0,1,1,,10,10
14,513,2,5,6,4702,1,6,1,0,1,1,,6,6
14,513,2,6,2,22380,1,2,1,0,1,1,,2,2
14,513,2,7,2,20815,1,2,2,0,1,1,,2,2
14,513,2,8,2,20314,1,2,3,0,1,1,,2,2
14,513,2,9,2,27818,1,2,4,0,1,1,,2,2
14,513,2,10,2,27821,1,0,0,10,0,0,2,2,2
14,513,2,11,2,26622,1,0,0,9,0,0,,2,2
14,513,2,12,2,26034,1,0,0,8,0,0,,2,2
14,513,2,13,2,32734,1,0,0,7,0,0,,2,2
14,513,2,14,2,28524,1,0,0,6,0,0,,2,2
14,513,2,15,2,6181,1,0,0,5,0,0,,2,2
14,513,2,16,4,-29057,0,0,0,4,0,1,,10,10
14,513,2,17,4,-36742,0,0,0,3,0,1,,10,10
14,513,2,18,4,-42200,0,0,0,2,0,1,,10,10
14,513,2,19,8,-52946,0,0,0,1,0,1,,10,10
14,513,2,20,2,-48623,0,0,0,0,1,1,,10,10
15,769,3,0,8,-31212,0,0,0,0,1,1,,10,10
15,769,3,1,2,-17810,0,0,0,0,1,1,,10,10
15,769,3,2,0,-17214,0,0,0,0,1,1,,10,10
15,769,3,3,0,-4209,0,0,0,0,1,1,,10,10
15,769,3,4,3,-11853,0,0,0,0,1,1,,10,10
15,769,3,5,9,190,0,0,0,0,1,1,,9,10
15,769,3,6,3,7650,1,3,1,0,1,1,,3,3
15,769,3,7,3,17429,1,3,2,0,1,1,,3,3
15,769,3,8,3,22255,1,3,3,0,1,1,,3,3
15,769,3,9,3,18642,1,3,4,0,1,1,,3,3
15,769,3,10,3,15274,1,0,0,10,0,0,3,3,3
15,769,3,11,3,12777,1,0,0,9,0,0,,3,3
15,769,3,12,3,19363,1,0,0,8,0,0,,3,3
15,769,3,13,3,18769,1,0,0,7,0,0,,3,3
15,769,3,14,3,3260,0,0,0,6,0,1,,3,10
15,769,3,15,7,-17731,0,0,0,5,0,1,,10,10
15,769,3,16,3,-13576,0,0,0,4,0,1,,10,10
15,769,3,17,6,-13314,0,0,0,3,0,1,,10,10
15,769,3,18,7,-9620,0,0,0,2,0,1,,10,10
15,769,3,19,6,-14033,0,0,0,1,0,1,,10,10
15,769,3,20,7,-42512,0,0,0,0,1,1,,10,10
16,1025,4,0,2,-44425,0,0,0,0,1,1,,10,10
16,1025,4,1,2,-49742,0,0,0,0,1,1,,10,10
16,1025,4,2,8,-45764,0,0,0,0,1,1,,10,10
16,1025,4,3,4,-18025,0,0,0,0,1,1,,10,10
16,1025,4,4,4,8087,1,4,1,0,1,1,,4,4
16,1025,4,5,4,24581,1,4,2,0,1,1,,4,4
16,1025,4,6,4,31325,1,4,3,0,1,1,,4,4
16,1025,4,7,4,32265,1,4,4,0,1,1,,4,4
16,1025,4,8,4,38642,1,0,0,10,0,0,4,4,4
16,1025,4,9,4,35586,1,0,0,9,0,0,,4,4
16,1025,4,10,4,34493,1,0,0,8,0,0,,4,4
16,1025,4,11,4,32315,1,0,0,7,0,0,,4,4
16,1025,4,12,4,29489,1,0,0,6,0,0,,4,4
16,1025,4,13,4,17704,1,0,0,5,0,0,,4,4
16,1025,4,14,2,4959,1,0,0,4,0,0,,2,2
16,1025,4,15,3,-26277,0,0,0,3,0,1,,10,10
16,1025,4,16,8,-28470,0,0,0,2,0,1,,10,10
16,1025,4,17,0,-29271,0,0,0,1,0,1,,10,10
16,1025,4,18,2,-19581,0,0,0,0,1,1,,10,10
16,1025,4,19,8,-33051,0,0,0,0,1,1,,10,10
16,1025,4,20,3,-27380,0,0,0,0,1,1,,10,10
17,1281,5,0,7,-37601,0,0,0,0,1,1,,10,10
17,1281,5,1,7,-23107,0,0,0,0,1,1,,10,10
17,1281,5,2,4,-9777,0,0,0,0,1,1,,10,10
17,1281,5,3,4,2543,0,0,0,0,1,1,,4,10
17,1281,5,4,4,-3230,0,0,0,0,1,1,,10,10
17,1281,5,5,9,1842,0,0,0,0,1,1,,9,10
17,1281,5,6,1,12909,1,1,1,0,1,1,,1,1
17,1281,5,7,1,1078,0,0,0,0,1,1,,1,10
17,1281,5,8,5,596,0,0,0,0,1,1,,5,10
17,1281,5,9,5,1823,0,0,0,0,1,1,,5,10
17,1281,5,10,5,4240,0,0,0,0,1,1,,5,10
17,1281,5,11,5,6208,1,5,1,0,1,1,,5,5
17,1281,5,12,5,7377,1,5,2,0,1,1,,5,5
17,1281,5,13,5,3581,0,0,0,0,1,1,,5,10
17,1281,5,14,3,3871,0,0,0,0,1,1,,3,10
17,1281,5,15,6,8638,1,6,1,0,1,1,,6,6
17,1281,5,16,3,-6068,0,0,0,0,1,1,,10,10
17,1281,5,17,7,-1543,0,0,0,0,1,1,,10,10
17,1281,5,18,7,-11497,0,0,0,0,1,1,,10,10
17,1281,5,19,7,-29278,0,0,0,0,1,1,,10,10
17,1281,5,20,3,-43912,0,0,0,0,1,1,,10,10
18,1537,6,0,3,-41471,0,0,0,0,1,1,,10,10
18,1537,6,1,3,-25691,0,0,0,0,1,1,,10,10
18,1537,6,2,3,-25177,0,0,0,0,1,1,,10,10
18,1537,6,3,2,-7468,0,0,0,0,1,1,,10,10
18,1537,6,4,2,7219,1,2,1,0,1,1,,2,2
18,1537,6,5,7,11282,1,7,1,0,1,1,,7,7
18,1537,6,6,7,12078,1,7,2,0,1,1,,7,7
18,1537,6,7,6,21025,1,6,1,0,1,1,,6,6
18,1537,6,8,6,18459,1,6,2,0,1,1,,6,6
18,1537,6,9,6,23947,1,6,3,0,1,1,,6,6
18,1537,6,10,6,17362,1,6,4,0,1,1,,6,6
18,1537,6,11,6,21584,1,0,0,10,0,0,6,6,6
18,1537,6,12,6,19977,1,0,0,9,0,0,,6,6
18,1537,6,13,6,10931,1,0,0,8,0,0,,6,6
18,1537,6,14,3,9739,1,0,0,7,0,0,,3,3
18,1537,6,15,3,5665,1,0,0,6,0,0,,3,3
18,1537,6,16,7,9945,1,0,0,5,0,0,,7,7
18,1537,6,17,7,176,0,0,0,4,0,1,,7,10
18,1537,6,18,7,-4655,0,0,0,3,0,1,,10,10
18,1537,6,19,7,-27876,0,0,0,2,0,1,,10,10
18,1537,6,20,7,-37601,0,0,0,1,0,1,,10,10
19,1793,7,0,7,-40155,0,0,0,0,1,1,,10,10
19,1793,7,1,0,-24787,0,0,0,0,1,1,,10,10
19,1793,7,2,0,-26959,0,0,0,0,1,1,,10,10
19,1793,7,3,0,-12920,0,0,0,0,1,1,,10,10
19,1793,7,4,7,-2671,0,0,0,0,1,1,,10,10
19,1793,7,5,7,-46,0,0,0,0,1,1,,11,11
19,1793,7,6,3,3749,0,0,0,0,1,1,,3,10
19,1793,7,7,4,15657,1,4,1,0,1,1,,4,4
19,1793,7,8,7,15954,1,7,1,0,1,1,,7,7
19,1793,7,9,7,16363,1,7,2,0,1,1,,7,7
19,1793,7,10,7,17456,1,7,3,0,1,1,,7,7
19,1793,7,11,7,21525,1,7,4,0,1,1,,7,7
19,1793,7,12,7,23356,1,0,0,10,0,0,7,7,7
19,1793,7,13,7,21662,1,0,0,9,0,0,,7,7
19,1793,7,14,7,17290,1,0,0,8,0,0,,7,7
19,1793,7,15,7,13423,1,0,0,7,0,0,,7,7
19,1793,7,16,7,9095,1,0,0,6,0,0,,7,7
19,1793,7,17,7,-243,0,0,0,5,0,1,,10,10
19,1793,7,18,7,4169,0,0,0,4,0,1,,7,7
19,1793,7,19,7,-19423,0,0,0,3,0,1,,10,10
19,1793,7,20,6,-27583,0,0,0,2,0,1,,10,10
20,2049,8,0,3,-53175,0,0,0,0,1,1,,10,10
20,2049,8,1,7,-37896,0,0,0,0,1,1,,10,10
20,2049,8,2,7,-21941,0,0,0,0,1,1,,10,10
20,2049,8,3,7,-16910,0,0,0,0,1,1,,10,10
20,2049,8,4,3,-4671,0,0,0,0,1,1,,10,10
20,2049,8,5,3,2780,0,0,0,0,1,1,,3,10
20,2049,8,6,3,3571,0,0,0,0,1,1,,3,10
20,2049,8,7,8,10444,1,8,1,0,1,1,,8,8
20,2049,8,8,8,27008,1,8,2,0,1,1,,8,8
20,2049,8,9,8,28719,1,8,3,0,1,1,,8,8
20,2049,8,10,8,20499,1,8,4,0,1,1,,8,8
20,2049,8,11,2,13851,1,2,1,0,1,1,,2,2
20,2049,8,12,2,12691,1,2,2,0,1,1,,2,2
20,2049,8,13,2,11646,1,2,3,0,1,1,,2,2
20,2049,8,14,8,26202,1,8,1,0,1,1,,8,8
20,2049,8,15,8,12855,1,8,2,0,1,1,,8,8
20,2049,8,16,2,17828,1,2,1,0,1,1,,2,2
20,2049,8,17,2,1254,0,0,0,0,1,1,,2,10
20,2049,8,18,5,-28436,0,0,0,0,1,1,,10,10
20,2049,8,19,2,-38927,0,0,0,0,1,1,,10,10
20,2049,8,20,0,-37487,0,0,0,0,1,1,,10,10
21,2305,9,0,3,-38778,0,0,0,0,1,1,,10,10
21,2305,9,1,0,-10419,0,0,0,0,1,1,,10,10
21,2305,9,2,9,-9264,0,0,0,0,1,1,,10,10
21,2305,9,3,9,3864,0,0,0,0,1,1,,9,10
